                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1024,                0.55619,                 1.0831,                0.82784,                0.65658,                0.73563,                0.51643,                 1.2803,                0.75019,                 1.7581,              0.0098563,              0.0098563,              0.0098563
                     49,                 1.0895,                0.54921,                 1.0877,                0.76016,                0.73677,                0.74287,                0.52504,                 1.2883,                 0.7457,                 1.7655,               0.009772,               0.009772,               0.009772
                     50,                 1.0973,                0.55369,                 1.0775,                0.80126,                0.71052,                0.75169,                0.53585,                 1.2912,                0.74178,                 1.7666,              0.0096865,              0.0096865,              0.0096865
                     51,                 1.0925,                 0.5479,                 1.0793,                0.80089,                0.70668,                0.74811,                0.52508,                 1.3031,                0.74039,                 1.7897,                 0.0096,                 0.0096,                 0.0096
                     52,                 1.0953,                0.54068,                 1.0784,                0.77154,                0.73289,                0.74421,                0.52424,                 1.2947,                0.76599,                 1.7727,              0.0095124,              0.0095124,              0.0095124
                     53,                 1.0936,                0.54994,                  1.075,                0.81281,                0.70074,                0.73929,                0.51804,                 1.2875,                0.75717,                 1.7738,              0.0094238,              0.0094238,              0.0094238
                     54,                 1.0914,                0.54306,                 1.0603,                0.83676,                0.68259,                0.73218,                0.51447,                 1.2912,                0.75367,                 1.7858,              0.0093342,              0.0093342,              0.0093342
                     55,                 1.1018,                0.53715,                 1.0652,                0.81456,                0.68767,                0.73071,                0.51431,                 1.2813,                 0.7395,                 1.7913,              0.0092437,              0.0092437,              0.0092437
                     56,                 1.0873,                0.53767,                 1.0657,                0.79287,                0.69814,                0.73601,                0.51776,                  1.287,                0.74987,                 1.7968,              0.0091523,              0.0091523,              0.0091523
                     57,                 1.0624,                0.52724,                 1.0601,                0.80285,                0.70576,                0.72195,                0.51093,                 1.2702,                0.73784,                 1.7781,              0.0090601,              0.0090601,              0.0090601
                     58,                 1.0708,                0.52644,                  1.054,                 0.8431,                0.69594,                0.73252,                 0.5166,                 1.2796,                 0.7436,                 1.7937,               0.008967,               0.008967,               0.008967
                     59,                 1.0707,                 0.5286,                 1.0657,                 0.8687,                0.66697,                0.73581,                 0.5181,                 1.2816,                0.74922,                 1.7912,              0.0088731,              0.0088731,              0.0088731
                     60,                 1.0696,                0.51933,                 1.0463,                0.83638,                0.70004,                0.74004,                0.52042,                 1.2836,                0.73524,                 1.8021,              0.0087786,              0.0087786,              0.0087786
                     61,                 1.0579,                0.51312,                 1.0463,                0.78128,                0.73206,                0.74031,                0.52268,                 1.2753,                0.73359,                 1.7981,              0.0086833,              0.0086833,              0.0086833
