                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.8032,                 1.6422,                 1.7144,                0.44137,                0.38213,                0.36799,                0.14513,                 2.2864,                 2.3173,                 2.3734,               0.009109,               0.009109,               0.009109
                     47,                 1.8019,                 1.6302,                 1.7075,                0.40842,                0.38022,                0.35846,                0.14441,                 2.2977,                 2.4081,                 2.3906,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.7914,                 1.6074,                 1.6989,                0.44743,                0.35775,                0.35267,                0.14247,                 2.2556,                 2.4354,                 2.3688,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.7813,                 1.6137,                 1.6998,                0.37936,                0.37683,                0.32653,                 0.1336,                 2.2911,                 2.5093,                 2.3911,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.7887,                 1.5894,                 1.6936,                0.52731,                0.36366,                0.36281,                0.14133,                 2.2958,                  2.457,                 2.3794,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.7645,                 1.5575,                 1.6866,                0.44877,                0.37381,                0.35372,                0.14713,                  2.289,                 2.4628,                 2.3792,                0.00901,                0.00901,                0.00901
                     52,                 1.7688,                 1.5459,                 1.6811,                0.54359,                 0.3549,                0.36852,                0.15119,                 2.2694,                 2.4332,                 2.3659,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.7601,                 1.5408,                 1.6758,                0.53377,                0.38208,                0.37376,                0.15184,                 2.2721,                 2.3366,                 2.3663,              0.0089704,              0.0089704,              0.0089704
                     54,                  1.758,                 1.5253,                 1.6688,                0.48489,                0.38466,                0.37108,                0.14817,                 2.3002,                 2.4496,                 2.3909,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.7554,                 1.5211,                 1.6623,                0.57427,                0.37247,                0.38907,                0.15556,                  2.292,                 2.4087,                 2.3856,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.7476,                 1.5094,                 1.6669,                0.56403,                0.38734,                 0.3825,                0.15123,                 2.2818,                 2.4514,                 2.3969,               0.008911,               0.008911,               0.008911
                     57,                 1.7416,                 1.4944,                 1.6467,                0.55864,                0.35551,                 0.3865,                0.14965,                 2.3107,                 2.3759,                  2.412,              0.0088912,              0.0088912,              0.0088912
                     58,                  1.736,                 1.4815,                 1.6509,                0.53387,                0.37733,                0.36306,                0.15053,                 2.3213,                 2.3873,                 2.4174,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.7258,                 1.4631,                 1.6538,                0.47192,                0.42013,                 0.3865,                0.15351,                 2.2892,                 2.3413,                 2.3792,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.7223,                 1.4504,                 1.6448,                0.46323,                0.41712,                0.37517,                0.15334,                   2.31,                 2.3696,                 2.4158,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.7153,                 1.4491,                 1.6377,                0.45927,                0.38688,                0.35221,                0.14299,                 2.3072,                 2.4894,                 2.4193,               0.008812,               0.008812,               0.008812
                     62,                 1.7225,                  1.451,                 1.6305,                0.45918,                0.39258,                0.36299,                0.14898,                 2.3258,                 2.3376,                 2.4438,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.6999,                 1.4163,                 1.6257,                0.58636,                0.36658,                0.38846,                 0.1637,                 2.3092,                 2.3917,                 2.3926,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.7026,                 1.4184,                  1.626,                0.59352,                0.38498,                0.38183,                0.15488,                 2.3171,                 2.3804,                  2.404,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.7062,                 1.4148,                 1.6241,                0.54926,                0.39722,                0.39603,                0.15595,                 2.3447,                 2.3521,                 2.4448,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.6869,                 1.3958,                 1.6078,                0.51061,                 0.3858,                0.38377,                0.15376,                 2.3199,                 2.4245,                 2.4119,               0.008713,               0.008713,               0.008713
                     67,                 1.6932,                 1.3979,                 1.6078,                0.57636,                0.39171,                0.37992,                 0.1546,                 2.3058,                 2.4478,                 2.4086,              0.0086932,              0.0086932,              0.0086932
                     68,                  1.687,                 1.3866,                 1.6017,                0.53631,                0.39133,                0.36893,                0.15138,                 2.3075,                  2.423,                 2.3927,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.6772,                 1.3721,                 1.5869,                0.49648,                0.42733,                0.39478,                0.15865,                  2.294,                 2.3462,                 2.3895,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.6784,                 1.3589,                 1.6012,                0.52114,                0.41391,                0.38052,                0.15636,                 2.3197,                 2.3421,                 2.4063,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.6767,                 1.3652,                 1.5924,                0.53841,                0.39909,                0.38171,                0.15536,                 2.2955,                 2.3382,                 2.3906,               0.008614,               0.008614,               0.008614
                     72,                 1.6687,                 1.3407,                 1.5782,                0.46357,                0.42292,                0.37684,                0.14995,                 2.3021,                 2.3789,                 2.4116,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.6609,                 1.3409,                  1.588,                0.56821,                0.36622,                0.36934,                0.15078,                 2.3264,                 2.3675,                 2.4199,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.6545,                 1.3403,                 1.5762,                0.54373,                0.39167,                0.38096,                0.15567,                 2.3228,                 2.3791,                 2.4182,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.6509,                 1.3102,                  1.567,                0.48285,                0.41237,                0.38494,                0.15502,                 2.3182,                 2.3733,                  2.424,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.6486,                 1.3145,                 1.5675,                0.52828,                0.41743,                0.38941,                0.15405,                 2.3232,                 2.3607,                 2.4152,               0.008515,               0.008515,               0.008515
                     77,                  1.643,                 1.3073,                  1.564,                0.55309,                0.37961,                0.38347,                0.15277,                 2.3155,                  2.328,                  2.421,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.6402,                 1.2979,                 1.5554,                0.49962,                0.40913,                0.38603,                 0.1571,                 2.3425,                  2.335,                 2.4357,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.6353,                   1.29,                   1.56,                 0.4878,                0.40276,                 0.3748,                0.15263,                 2.3645,                 2.3211,                 2.4797,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.6351,                  1.276,                 1.5497,                0.54644,                0.36418,                0.37755,                0.15264,                 2.3602,                 2.3566,                 2.4714,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.6254,                 1.2704,                 1.5461,                 0.5379,                0.39113,                0.38365,                0.15557,                  2.349,                 2.3518,                 2.4653,               0.008416,               0.008416,               0.008416
                     82,                 1.6209,                 1.2598,                 1.5419,                0.56801,                0.37183,                0.37513,                 0.1537,                 2.3365,                 2.3559,                 2.4472,              0.0083962,              0.0083962,              0.0083962
